Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
1746,54,1,1,1,0,2,0
5332,54,0,1,0,1,2,0
8736,54,0,1,0,6,0,0
6712,54,1,0,1,0,2,0
4112,55,0,0,0,0,0,0
2974,55,1,1,8,1,2,0
5109,55,1,1,0,0,0,1
8866,55,0,0,0,2,0,0
6023,55,0,1,0,0,0,0
4156,56,1,1,0,0,1,0
6341,56,0,1,0,0,0,0
832,56,1,0,4,0,3,0
6705,56,1,1,0,0,0,1
6340,57,1,1,2,0,2,0
4459,57,0,1,0,0,0,0
8080,57,0,0,0,0,2,0
